# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed Apr 29 08:04:24 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 5.00000 1.7999999523 3.2563918376    1.799  1.505  3.6718  2.827    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 1.007 1.080 1.620 0.385
0.0152 0.01508 5.00000 1.8500000238 3.2599251663    1.849  1.521  3.6728  2.827    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.967 1.036 1.573 0.344
0.0152 0.01508 5.00000 1.9000000954 3.2632382345    1.899  1.540  3.6736  2.823    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.921 0.987 1.522 0.296
0.0152 0.01508 5.00000 1.9007760286 3.2632880167    1.900  1.540  3.6736  2.823    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.920 0.986 1.521 0.296
0.0152 0.01508 5.00000 1.9500001669 3.2663500421    1.950  1.555  3.6745  2.823    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.882 0.945 1.477 0.257
0.0152 0.01508 5.00000 2.0000000000 3.2692774629    2.000  1.570  3.6754  2.823    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.845 0.905 1.435 0.219
0.0152 0.01508 5.00000 2.0085380077 3.2697598120    2.009  1.573  3.6755  2.822    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.838 0.897 1.427 0.211
0.0152 0.01508 5.00000 2.0499999523 3.2720312711    2.050  1.585  3.6763  2.822    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.807 0.865 1.392 0.180
0.0152 0.01508 5.00000 2.0999999046 3.2746226920    2.099  1.598  3.6771  2.823    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.775 0.829 1.354 0.147
0.0152 0.01508 5.00000 2.1359493732 3.2763929438    2.135  1.610  3.6776  2.819    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.745 0.797 1.321 0.116
0.0152 0.01508 5.00000 2.1500000954 3.2770648457    2.149  1.614  3.6778  2.819    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.735 0.787 1.310 0.106
0.0152 0.01508 5.00000 2.2000000477 3.2793694871    2.199  1.625  3.6787  2.822    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.707 0.756 1.276 0.077
0.0152 0.01508 5.00000 2.2410864830 3.2811678642    2.240  1.637  3.6792  2.820    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.677 0.724 1.242 0.046
0.0152 0.01508 5.00000 2.2500000000 3.2815472373    2.249  1.639  3.6794  2.820    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.671 0.718 1.236 0.041
0.0152 0.01508 5.00000 2.2999999523 3.2836076752    2.299  1.650  3.6802  2.822    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.644 0.688 1.203 0.013
0.0152 0.01508 5.00000 2.3300459385 3.2847930551    2.329  1.658  3.6806  2.821    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.624 0.666 1.181 -0.008
0.0152 0.01508 5.00000 2.4000000954 3.2874104896    2.399  1.675  3.6816  2.822    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.583 0.622 1.134 -0.050
0.0152 0.01508 5.00000 2.4900305271 3.2905117383    2.489  1.639  3.6861  2.892    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.674 0.699 1.199 0.037
0.0152 0.01508 5.00000 2.5999999046 3.2939353022    2.600  1.611  3.6904  2.955    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.742 0.754 1.243 0.102
0.0152 0.01508 5.00000 2.6483135223 3.2953235207    2.648  1.622  3.6910  2.955    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.715 0.725 1.212 0.074
